Felicidad,Tristeza,Miedo,Asco,Enfado,timeBeginMark,timeEndMark,Pitch,Amplitude,Longitud_Onda,Nombre
0.7832635580562055,0.36118580494076014,0.3904280145652592,0.14513202756643295,0.13035689271055162,91.4,95.5,0.49994271489725134,0.00102667920050057,0.007145833333333333,Maria_cadilla_nuevo.wav
0.42421946697868407,0.4361464702524245,0.20786575553938746,0.06352699804119766,0.1149246459826827,92.8,95.5,0.24997135744862567,0.001952199543701573,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5738997324369848,0.33756415732204914,0.11859301151707768,0.07712606783024967,0.09504912863485515,93.8,95.4,0.49994271489725134,0.006292424376861271,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4477357673458755,0.3640579469501972,0.27791832108050585,0.11121088871732354,0.170776535756886,94.6,95.4,0.9998854297945027,0.005937504102143523,0.007145833333333333,Maria_cadilla_nuevo.wav
0.8580633560195565,0.3201821343973279,0.3915309915319085,0.1013287054374814,0.1782393055036664,97.3,100.0,0.24997135744862567,0.001764285550950929,0.007145833333333333,Maria_cadilla_nuevo.wav
0.8546016262844205,0.3154133502393961,0.33102413453161716,0.09158440865576267,0.1476227529346943,97.4,100.1,0.749914072345877,0.0004941838008620743,0.007145833333333333,Maria_cadilla_nuevo.wav
1.0861628791317344,0.23862570291385055,0.24870019080117345,0.10273551475256681,0.09826261992566288,98.4,100.1,0.749914072345877,0.002359342448730751,0.007145833333333333,Maria_cadilla_nuevo.wav
0.676222515758127,0.31986666237935424,0.4319667909294367,0.09980784263461828,0.13150267582386732,98.6,100.0,0.49994271489725134,0.005058500081829663,0.007145833333333333,Maria_cadilla_nuevo.wav
0.40906663960777223,0.2137723509222269,0.3270625484874472,0.05162154696881771,0.04248619009740651,102.6,104.0,0.49994271489725134,0.013908871644245467,0.007145833333333333,Maria_cadilla_nuevo.wav
0.8810698541346937,0.5731322874780744,0.2886045123450458,0.13179483683779836,0.03260007477365434,102.4,105.0,0.49994271489725134,0.012768521636468258,0.007145833333333333,Maria_cadilla_nuevo.wav
0.8334364474285394,0.5160133088938892,0.33291696291416883,0.11108150269137695,0.02355877950321883,102.5,106.0,0.749914072345877,0.007019672628666272,0.007145833333333333,Maria_cadilla_nuevo.wav
1.1210756043437868,0.6594887687824667,0.6845946584071498,0.13539666464203037,0.00908017682377249,102.5,107.0,0.24997135744862567,0.011759395561445847,0.007145833333333333,Maria_cadilla_nuevo.wav
1.104480269481428,0.263757461681962,0.42539438838139176,0.1128797180717811,0.023991701134946197,103.9,108.0,0.24997135744862567,0.009166850231687318,0.007145833333333333,Maria_cadilla_nuevo.wav
1.901214950485155,0.2460258969804272,0.3758618213760201,0.33701514918357134,0.019164233992341906,104.6,109.0,0.49994271489725134,0.0074433618226781495,0.007145833333333333,Maria_cadilla_nuevo.wav
1.751295804278925,0.24445136787835509,0.250523836715729,0.17793321306817234,0.01682515870197676,105.5,110.0,0.24997135744862567,0.005467948141796502,0.007145833333333333,Maria_cadilla_nuevo.wav
1.1461731677409261,0.2337781300302595,0.13455272314604372,0.1349977571517229,0.03179486293811351,106.8,108.4,0.49994271489725134,0.002873177123279906,0.007145833333333333,Maria_cadilla_nuevo.wav
1.5171020730631426,0.26990641781594604,0.09342510945862159,0.23728782357648015,0.03361888858489692,107.9,111.5,0.24997135744862567,0.0002578078352831082,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9260787992971018,0.2942526009865105,0.09295451248181053,0.08644731913227588,0.026219777762889862,108.5,111.5,0.24997135744862567,0.003815216578030189,0.007145833333333333,Maria_cadilla_nuevo.wav
1.13306281901896,0.6426966516301036,0.15765487775206566,0.10209346748888493,0.16526806796900928,110.2,111.3,0.49994271489725134,0.04027052624475205,0.007145833333333333,Maria_cadilla_nuevo.wav
1.104208686389029,0.6211447576060891,0.18523111008107662,0.10072565078735352,0.2170079560019076,110.1,111.4,0.24997135744862567,0.028447088253441978,0.007145833333333333,Maria_cadilla_nuevo.wav
1.8126573325134814,0.6255608056671917,0.12751449673669413,0.2405528809176758,0.015394910878967494,113.2,116.0,0.24997135744862567,0.025161518848241277,0.007145833333333333,Maria_cadilla_nuevo.wav
2.0661548193893395,0.9192224533180706,0.18650712887756526,0.1939658410847187,0.01035531098023057,113.2,117.0,0.49994271489725134,0.0281938128511782,0.007145833333333333,Maria_cadilla_nuevo.wav
2.436552779050544,0.7075491975119803,0.23700948085752316,0.25446031853789464,0.005697010783478618,113.5,118.0,0.49994271489725134,0.02788512107284509,0.007145833333333333,Maria_cadilla_nuevo.wav
2.123084415332414,0.40405588038265705,0.31831985351163894,0.20997791609261185,0.01227333300630562,114.4,119.0,0.749914072345877,0.04913456599005804,0.007145833333333333,Maria_cadilla_nuevo.wav
1.569209380511893,0.46758963758475147,0.25837252516066656,0.07536948996130377,0.006519322996609844,115.5,120.0,0.49994271489725134,0.02649837775182165,0.007145833333333333,Maria_cadilla_nuevo.wav
1.8389651216566563,0.5179576049122261,0.1829316112853121,0.1259886568877846,0.008783268858678639,116.6,121.0,0.749914072345877,0.06294957011684642,0.007145833333333333,Maria_cadilla_nuevo.wav
2.0192270668339916,0.4846092016377952,0.22062739171087742,0.1610083112900611,0.010206891267444007,117.4,122.0,0.24997135744862567,0.04101908605446531,0.007145833333333333,Maria_cadilla_nuevo.wav
1.3782120438991114,0.5298286263714544,0.25738726355484687,0.1160112856887281,0.013760995905613527,118.4,123.0,0.24997135744862567,0.027475856579753117,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9706347266910598,0.23422553535783663,0.3711414876161143,0.1545187623705715,0.025026318326126784,119.3,124.0,0.24997135744862567,0.022664286366814307,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9943725903285667,0.4621288988564629,0.5953954118303955,0.05146901122498093,0.004288367337721866,120.1,125.0,0.49994271489725134,0.0346763332031494,0.007145833333333333,Maria_cadilla_nuevo.wav
0.813057673687581,0.2234826723288279,0.595810816535959,0.03268155051773647,0.0030849417016725056,121.4,126.0,0.24997135744862567,0.05417469714660983,0.007145833333333333,Maria_cadilla_nuevo.wav
1.0629164954880252,0.157685968617443,0.4195477334433235,0.04195643603452481,0.006568904333107639,122.5,127.0,0.49994271489725134,0.045539211828690106,0.007145833333333333,Maria_cadilla_nuevo.wav
